sseqid,sstart,send,sense,attribute
LinJ.01,147251,152107,+,product=long-chain-fatty-acid-CoA ligase - putative
LinJ.01,153104,155149,+,product=hypothetical protein - conserved
LinJ.01,156610,157716,+,product=hypothetical protein - conserved
LinJ.01,158783,160651,+,product=pre-mRNA processing factor 3 (PRP3)/Protein of unknown function (DUF1115) - putative
LinJ.01,161265,162245,+,product=tricarboxylate carrier - putative
LinJ.01,162937,165831,+,product=hypothetical protein - conserved
LinJ.01,166851,168125,+,product=KREL1
LinJ.01,169190,174643,+,product=Rab-GTPase-TBC domain containing protein - putative
LinJ.01,175625,176356,+,product=DNA-damage inducible protein DDI1-like protein
LinJ.01,176985,178757,+,product=hypothetical protein - conserved
LinJ.01,181105,183228,+,product=hypothetical protein - conserved
LinJ.01,184800,188135,+,product=HSP70-like protein
LinJ.01,189091,190575,+,product=metallo-peptidase - Clan ME - Family M16
LinJ.01,191969,196465,+,product=hypothetical protein - conserved
LinJ.01,197459,198367,+,product=hypothetical protein - conserved
LinJ.01,202489,204894,+,product=hypothetical protein - conserved
LinJ.01,206794,207495,+,product=PLAC8 family - putative
LinJ.01,210432,211493,+,product=PLAC8 family - putative
LinJ.01,213790,215409,+,product=ubiquitin activating enzyme - putative
LinJ.01,216040,220872,+,product=hypothetical protein - conserved
LinJ.01,222098,228886,+,product=Meckel syndrome type 6 protein - putative
LinJ.01,229670,231934,+,product=hypothetical protein - conserved
LinJ.01,233466,237713,+,product=protein kinase - putative
LinJ.01,238289,239311,+,product=hypothetical protein - conserved
LinJ.01,240165,241376,+,product=eukaryotic initiation factor 4a - putative
LinJ.01,243452,244663,+,product=eukaryotic initiation factor 4a - putative
LinJ.01,246809,248401,+,product=hypothetical protein - conserved
LinJ.01,250512,251984,+,product=hypothetical protein - conserved
LinJ.01,253431,256484,+,product=calcium/potassium channel (CAKC) - putative
LinJ.01,257855,261553,+,product=potassium channel subunit-like protein
LinJ.02,3395,5842,-,"product=phosphoglycan beta 1,3 galactosyltransferase 6"
LinJ.02,7751,8053,-,product=histone H4
LinJ.02,8897,9517,-,product=tagatose-6-phosphate kinase-like protein
LinJ.02,10679,12538,-,product=aminopeptidase P1 - putative
LinJ.02,17547,18203,-,product=cytochrome b-domain protein - putative
LinJ.02,18850,19428,-,product=hypothetical protein - conserved
LinJ.02,20044,21237,-,product=hypothetical protein - conserved
LinJ.02,23320,26301,-,product=hypothetical protein - conserved
LinJ.02,27895,28839,-,product=hypothetical protein - conserved
LinJ.02,30149,31213,-,product=hypothetical protein - conserved
LinJ.02,33908,36835,-,product=hypothetical protein - conserved
LinJ.02,38917,42417,-,product=tRNA exportin - putative
LinJ.02,44234,58954,-,product=phosphatidylinositol kinase related protein - putative
LinJ.02,60504,61223,-,product=Zinc-finger of C2H2 type - putative
LinJ.02,62123,64810,-,product=Ankyrin repeats (many copies)/Ankyrin repeats (3 copies)/Zinc finger - C3HC4 type (RING finger) containing protein - putativ
LinJ.02,66104,72016,-,product=Vps51/Vps67 - putative
LinJ.02,79711,82164,-,product=phosphoglycan beta 1 -3 galactosyltransferase
LinJ.02,86347,88779,-,product=phosphoglycan beta 1 -3 galactosyltransferase
LinJ.02,90963,92927,-,product=phosphoglycan beta 1 -3 galactosyltransferase
LinJ.02,99643,101961,-,product=phosphoglycan beta 1 -3 galactosyltransferase
LinJ.02,104398,106989,-,product=phosphoglycan beta 1 -3 galactosyltransferase
LinJ.02,110603,112945,-,product=phosphoglycan beta 1 -2 arabinosyltransferase
LinJ.02,114421,117402,-,product=phosphoglycan beta 1 -3 galactosyltransferase
LinJ.02,119608,122316,-,product=Glycosyltransferase (GlcNAc) - putative
LinJ.02,123983,127423,-,product=hypothetical protein - conserved
LinJ.02,128915,129739,-,product=small GTP binding protein rab6-like protein
LinJ.02,131272,131466,-,product=hypothetical protein - conserved
LinJ.02,133544,134053,-,product=hypothetical protein - conserved
LinJ.02,134937,136529,-,product=NIMA/Nek Serine/threonine-protein kinase family - putative
LinJ.02,145478,149221,-,product=ATP-binding cassette subfamily A - member 1 - putative
LinJ.02,153058,155130,-,product=Soluble NSF attachment protein - SNAP - putative
LinJ.02,156282,157256,-,product=RNase PH-like protein - putative
LinJ.02,157928,162544,-,product=glycosyl transferase - putative
LinJ.02,163783,166701,-,product=EamA-like transporter family/Triose-phosphate Transporter family/UAA transporter family - putative
LinJ.02,167864,171049,-,product=hypothetical protein - conserved
LinJ.02,172810,173955,-,product=casein kinase II - alpha chain - putative
LinJ.02,175540,177129,-,product=proteasome regulatory non-ATPase subunit 6 - putative
LinJ.02,178188,179561,-,product=FtsJ-like methyltransferase - putative
LinJ.02,180883,181341,-,product=ubiquitin-conjugating enzyme E2 - putative
LinJ.02,182776,185856,-,product=Mitochondrial protein 81
LinJ.02,188531,191590,-,product=hypothetical protein - conserved
LinJ.02,195453,196565,-,product=serine peptidase - Clan S- - family S54 - putative
LinJ.02,202759,203592,-,product=voltage-dependent anion-selective channel - putative
LinJ.02,207733,208608,-,product=voltage-dependent anion-selective channel - putative
LinJ.02,209832,219395,-,product=hypothetical protein - conserved
LinJ.02,222245,222850,-,product=hypothetical protein - conserved
LinJ.02,223697,225826,-,product=hypothetical protein - conserved
LinJ.02,227787,230636,-,product=glycerate kinase - putative
LinJ.02,231992,232504,-,product=hypothetical protein - conserved
LinJ.02,234105,240380,-,product=hypothetical protein - conserved
LinJ.02,246697,249288,-,product=hypothetical protein - conserved
LinJ.02,250689,251669,-,product=hypothetical protein - conserved
LinJ.02,254036,254527,-,product=hypothetical protein - conserved
LinJ.02,255627,258170,-,product=hypothetical protein - conserved
LinJ.02,261675,265946,-,product=protein kinase - putative
LinJ.02,298221,309587,+,product=hypothetical protein - conserved
LinJ.02,310402,311937,+,product=TPR repeat/Tetratricopeptide repeat - putative
LinJ.02,312988,313620,+,product=ARP2/3 complex subunit - putative
LinJ.02,315192,316157,+,product=hypothetical protein - conserved
LinJ.02,317349,319052,+,product=hypothetical protein - conserved
LinJ.02,320082,322061,+,product=gamma-glutamyl phosphate reductase-like protein
LinJ.02,323555,327799,+,product=hypothetical protein - conserved
LinJ.02,328329,329276,+,product=hypothetical protein - conserved
LinJ.02,330183,332915,+,product=Nop14-like family - putative
LinJ.02,333812,334753,+,product=mitochondrial carrier protein - putative
LinJ.02,336793,337371,+,product=hypothetical protein
LinJ.02,338308,339672,+,product=hypothetical protein - conserved
LinJ.02,340458,343268,+,product=hypothetical protein - conserved
LinJ.02,344985,347438,+,product=Heat shock protein 100 kDa
LinJ.02,348523,348765,+,"product=hypothetical protein, unknown function"
LinJ.02,349947,350492,+,product=dehydrogenase/oxidoreductase-like protein
LinJ.03,1189,4218,-,product=Leucine rich repeat/Leucine Rich Repeat - putative
LinJ.03,5500,6306,+,product=hypothetical protein - conserved
LinJ.03,7036,8259,+,product=D-3-phosphoglycerate dehydrogenase-like protein
LinJ.03,9198,10343,+,product=2-aminoethylphosphonate:pyruvateaminotransferase-like protein
LinJ.03,13324,14496,+,product=Met-10+ like-protein/Methyltransferase small domain/Methyltransferase domain containing protein - putative
LinJ.03,15347,17848,+,product=hypothetical protein - conserved
LinJ.03,18578,20464,+,product=glycerol-3-phosphate acyl transferase
LinJ.03,21719,23422,+,product=DNA primase large subunit - putative
LinJ.03,24882,25376,+,product=cytochrome c oxidase assembly protein - putative
LinJ.03,26679,29354,+,product=hypothetical protein - conserved
LinJ.03,30102,32879,+,product=Leucine Rich Repeat - putative
LinJ.03,33825,34373,+,product=acetyltransferase - putative
LinJ.03,35249,35668,+,product=hypothetical protein - conserved
LinJ.03,36906,37841,+,product=hypothetical protein - conserved
LinJ.03,38711,40885,+,product=ATP-binding cassette protein subfamily F - member 1 - putative
LinJ.03,41874,42449,+,product=hypothetical protein - conserved
LinJ.03,43048,44922,+,product=zinc-finger of acetyl-transferase ESCO - putative
LinJ.03,45824,46456,+,product=U2 splicing auxiliary factor - putative
LinJ.03,47999,49681,+,product=delta-1-pyrroline-5-carboxylate dehydrogenase - putative
LinJ.03,51461,52600,+,product=protein kinase - putative
LinJ.03,53692,54633,+,product=hypothetical protein - conserved
LinJ.03,55567,57681,+,product=long-chain-fatty-acid-CoA ligase - putative
LinJ.03,60825,61289,+,product=hypothetical protein - conserved
LinJ.03,61907,62158,+,product=ribosomal protein L38 - putative
LinJ.03,63466,64374,+,product=hypothetical protein - conserved
LinJ.03,66063,74549,+,product=Apolipoprotein A1/A4/E domain containing protein - putative
LinJ.03,75418,78423,+,product=hypothetical protein - conserved
LinJ.03,84864,91082,+,product=hypothetical protein - conserved
LinJ.03,92094,95225,+,product=hypothetical protein - conserved
LinJ.03,96441,98333,+,product=hypothetical protein - conserved
LinJ.03,99209,100237,+,product=DDRGK domain containing protein - putative
LinJ.03,101393,105934,+,product=protein kinase - putative
LinJ.03,110088,115043,+,product=hypothetical protein - conserved
LinJ.03,118674,119606,+,product=GPR1/FUN34/yaaH family - putative
LinJ.03,122053,123165,+,product=GPR1/FUN34/yaaH family - putative
LinJ.03,126402,127172,+,"product=hypothetical protein, conserved"
LinJ.03,127953,128864,+,product=GPR1/FUN34/yaaH family - putative
LinJ.03,131963,134005,+,product=MFS transporter - putative
LinJ.03,137121,142136,+,product=PTP1-interacting protein - 39 kDa - putative
LinJ.03,143151,143483,+,product=60s Acidic ribosomal protein - putative
LinJ.03,144385,144720,+,product=60S acidic ribosomal protein P2 - putative
LinJ.03,145591,150666,+,product=TLD domain protein - conserved
LinJ.03,156987,160169,+,product=hypothetical protein - conserved
LinJ.03,162280,162555,+,product=hypothetical protein
LinJ.03,165090,167963,+,product=hypothetical protein - conserved
LinJ.03,169478,172507,+,product=Ankyrin repeats (3 copies)/Ankyrin repeats (many copies)/Ankyrin repeat/DHHC palmitoyltransferase - putative
LinJ.03,174272,177346,+,product=hypothetical protein - conserved
LinJ.03,178685,180403,+,product=phosphate-Repressible Phosphate Permease-like protein
LinJ.03,183785,191212,+,product=hypothetical protein - conserved
LinJ.03,191939,194512,+,product=RNA recognition motif. (a.k.a. RRM - RBD - or RNP domain) - putative
LinJ.03,196442,202576,+,product=hypothetical protein - conserved
LinJ.03,204236,205426,+,product=26S protease regulatory subunit - putative
LinJ.03,206907,211043,+,product=hypothetical protein - conserved
LinJ.03,212518,214668,+,product=hypothetical protein - conserved
LinJ.03,217427,218425,+,product=quinone oxidoreductase - putative
LinJ.03,218838,219374,+,product=hypothetical protein - conserved
LinJ.03,221241,225278,+,product=DNA repair helicase - putative
LinJ.03,225931,227148,+,product=arginine N-methyltransferase - putative
LinJ.03,228197,229246,+,product=kinase-like protein
LinJ.03,230112,232139,+,product=mitochondrial protein 99 - putative
LinJ.03,233765,234751,+,product=hypothetical protein - conserved
LinJ.03,235494,237320,+,product=hypothetical protein - conserved
LinJ.03,239761,242430,+,product=hypothetical protein - conserved
LinJ.03,244012,246408,+,product=hypothetical protein - conserved
LinJ.03,247412,249112,+,product=hypothetical protein - conserved
LinJ.03,259430,260290,+,product=Uroporphyrinogen-III synthase HemD - putative
LinJ.03,262551,269183,-,product=DEAD/DEAH box helicase/Type III restriction enzyme - res subunit - putative
LinJ.03,269997,278678,-,product=hypothetical protein - conserved
LinJ.03,279569,280255,-,product=Aminoacyl-tRNA editing domain containing protein - putative
LinJ.03,280816,283455,-,product=hypothetical protein - conserved
LinJ.03,285568,286782,-,product=hypothetical protein - conserved
LinJ.03,287693,287947,-,product=cytochrome c oxidase copper chaperone - putative
LinJ.03,288685,290835,-,product=TatD related DNase - putative
LinJ.03,291654,292607,-,product=hypothetical protein - conserved
LinJ.03,293362,295008,-,product=Ubiquitin-like domain containing protein - putative
LinJ.03,295790,305305,-,product=serine/threonine-protein kinase - putative
LinJ.03,306816,308123,-,product=hypothetical protein - conserved
LinJ.03,308985,316166,-,product=6-phosphofructo-2-kinase/fructose-2 -6-biphosphatase - putative
LinJ.03,317492,320773,-,product=hypothetical protein - conserved
LinJ.03,321555,330269,-,product=hypothetical protein - conserved
LinJ.03,331033,332892,-,product=choline/ethanolamine phosphotransferase - putative
LinJ.03,335292,336479,-,product=hypothetical protein - conserved
LinJ.03,337567,340476,-,product=hypothetical protein - conserved
LinJ.03,341321,348433,-,product=hypothetical protein - conserved
LinJ.03,349457,353806,-,product=hypothetical protein - conserved
LinJ.03,354747,358913,-,product=hypothetical protein - conserved
LinJ.03,359865,365870,-,product=hypothetical protein - conserved
LinJ.03,366629,368848,-,product=NLI interacting factor-like phosphatase - putative
LinJ.03,370888,372030,-,product=peter pan protein - putative
LinJ.03,373190,373870,-,product=inorganic pyrophosphatase - putative
LinJ.03,374710,375366,-,product=Got1/Sft2-like family - putative
LinJ.03,376432,378525,-,product=Amidohydrolase/Amidohydrolase family - putative
LinJ.03,379122,380108,-,product=hypothetical protein - conserved
LinJ.03,381594,383501,-,product=Multicopper oxidase - putative
LinJ.03,384129,384443,-,product=hypothetical protein - conserved
LinJ.03,384987,385964,-,product=MORN repeat - putative
LinJ.03,386699,387940,-,product=eukaryotic initiation factor 2a - putative
LinJ.04,4158,7229,+,product=calcium-translocating P-type ATPase
LinJ.04,9334,10221,+,product=pteridine transporter (truncated) - putative
LinJ.04,12245,14419,+,product=cAMP-specific phosphodiesterase - putative
LinJ.04,15411,15632,+,product=hypothetical protein - conserved
LinJ.04,16136,17455,+,product=hypothetical protein - conserved
LinJ.04,21489,21992,+,product=hypothetical protein - conserved
LinJ.04,23132,24721,+,product=hypothetical protein - conserved
LinJ.04,26834,27622,+,product=DNA topoisomerase type IB small subunit - putative
LinJ.04,28562,29299,+,product=hypothetical protein - conserved
LinJ.04,29986,30462,+,product=hypothetical protein - conserved
LinJ.04,31559,37177,+,product=hypothetical protein - conserved
LinJ.04,38331,40064,+,product=hypothetical protein - conserved
LinJ.04,41166,42209,+,product=hypothetical protein - conserved
LinJ.04,42964,43866,+,product=exosome complex exonuclease RRP40 - putative
LinJ.04,44830,45306,+,product=hypothetical protein - conserved
LinJ.04,46275,47579,+,product=hypothetical protein - conserved
LinJ.04,48073,49659,+,product=hypothetical protein - conserved
LinJ.04,50666,52252,+,product=hypothetical protein - conserved
LinJ.04,53258,54844,+,product=hypothetical protein - conserved
LinJ.04,56902,58416,+,product=surface antigen-like protein
LinJ.04,59356,61485,+,product=surface antigen-like protein
LinJ.04,62565,63113,+,product=surface antigen-like protein
LinJ.04,65136,66008,+,product=surface antigen-like protein
LinJ.04,69036,70100,+,product=hypothetical protein - conserved
LinJ.04,71892,72668,+,product=hypothetical protein - conserved
LinJ.04,74044,74916,+,product=GRAM domain containing protein - putative
LinJ.04,76926,81332,+,product=RNA pseudouridylate synthase-like protein
LinJ.04,81999,82805,+,product=Tetratricopeptide repeat - putative
LinJ.04,83450,84892,+,product=Mitochondrial 39-S ribosomal protein L47 (MRP-L47) - putative
LinJ.04,85412,91342,+,product=adenosine monophosphate deaminase - putative
LinJ.04,92763,94109,+,product=Alcohol dehydrogenase GroES-like domain containing protein - putative
LinJ.04,95532,96506,+,product=hypothetical protein - conserved
LinJ.04,97144,99075,+,product=beta-fructofuranosidase - putative
LinJ.04,100760,101959,+,product=beta-fructofuranosidase - putative
LinJ.04,103162,105726,+,product=mitochondrial exoribonuclease DSS-1 - putative
LinJ.04,106360,106914,+,product=ADP-ribosylation factor - putative
LinJ.04,108882,115250,+,product=hypothetical protein - conserved
LinJ.04,116262,116834,+,product=hypothetical protein - conserved
LinJ.04,117912,118973,+,product=Phytanoyl-CoA dioxygenase (PhyH) - putative
LinJ.04,128256,128984,-,product=hypothetical protein - conserved
LinJ.04,132857,133879,-,product=anaphase promoting complex - subunit 10-like protein
LinJ.04,135367,138732,-,product=hypothetical protein - conserved
LinJ.04,141015,142100,-,product=Tetratricopeptide repeat - putative
LinJ.04,143426,155788,-,product=hypothetical protein - conserved
LinJ.04,159364,163383,-,product=serine/threonine protein kinase-like protein
LinJ.04,167436,170003,-,product=cysteine peptidase - Clan CA - family C2 - putative
LinJ.04,174145,175584,-,product=adenylosuccinate lyase - putative
LinJ.04,176402,179428,-,product=hypothetical protein - conserved
LinJ.04,180396,180962,-,product=60S ribosomal protein L11 (L5 - L16)
LinJ.04,181577,182149,-,product=ADP-ribosylation factor - putative
LinJ.04,183825,184796,-,product=hypothetical protein - conserved
LinJ.04,185749,194757,-,product=Nucleotidyltransferase domain containing protein - putative
LinJ.04,198153,202895,-,product=hypothetical protein - conserved
LinJ.04,204320,207523,-,product=palmitoyl acyltransferase 1 - putative
LinJ.04,209331,210374,-,product=hypothetical protein - conserved
LinJ.04,213029,214807,-,product=Zinc finger - C3HC4 type (RING finger) containing protein - putative
LinJ.04,215748,220400,-,product=Tetratricopeptide repeat/TPR repeat - putative
LinJ.04,227365,228294,-,product=tyrosine phosphatase - putative
LinJ.04,228808,233514,-,product=DENN (AEX-3) domain containing protein - putative
LinJ.04,235535,236437,-,product=spermidine synthase
LinJ.04,237178,237981,-,product=hypothetical protein - conserved
LinJ.04,238745,248074,-,product=Ankyrin repeat - putative
LinJ.04,250013,250516,-,product=hypothetical protein - conserved
LinJ.04,251316,255185,-,product=hypothetical protein - conserved
LinJ.04,258439,259455,-,product=hypothetical protein - conserved
LinJ.04,260136,260738,-,product=hypothetical protein - conserved
LinJ.04,262076,263062,-,product=Zinc finger - C3HC4 type (RING finger) containing protein - putative
LinJ.04,264848,268573,-,product=serine-threonine protein kinase-like protein
LinJ.04,269560,269982,-,product=hypothetical protein - conserved
LinJ.04,271575,272033,-,product=hypothetical protein - conserved
LinJ.04,273320,273766,-,product=ubiquitin-conjugating enzyme E2 - putative
LinJ.04,275728,277896,-,product=Axonemal dynein light chain - putative
LinJ.04,278996,282271,-,product=hypothetical protein - conserved
LinJ.04,283285,285669,-,product=Tir chaperone protein (CesT) family/PDZ domain containing protein - putative
LinJ.04,289538,291673,-,product=hypothetical protein - conserved
LinJ.04,292661,294571,-,product=Protein of unknown function (DUF974) - putative
LinJ.04,295300,297732,-,product=hypothetical protein - conserved
LinJ.04,298643,299284,-,product=60S ribosomal protein L10 - putative
LinJ.04,300364,301092,-,product=nascent polypeptide associated complex subunit- like protein - copy
LinJ.04,302191,302709,-,product=nascent polypeptide associated complex subunit- like protein - copy 2
LinJ.04,303399,305129,-,product=heat shock protein - putative
LinJ.04,306132,309536,-,product=hypothetical protein - conserved
LinJ.04,311432,312511,-,product=hypothetical protein - conserved
LinJ.04,313525,315540,-,product=Pescadillo N-terminus/BRCA1 C Terminus (BRCT) domain containing protein - putative
LinJ.04,316236,317462,-,product=Peptide deformylase 2 - putative
LinJ.04,318397,322587,-,product=hypothetical protein - conserved
LinJ.04,323811,326447,-,product=tyrosine phospatase-like protein
LinJ.04,327890,329080,-,product=serine peptidase - Clan S- - family S54 - putative
LinJ.04,329839,330504,-,product=hypothetical protein - conserved
LinJ.04,334300,337854,-,product=hypothetical protein - conserved
LinJ.04,339772,340296,-,product=hypothetical protein - conserved
LinJ.04,342174,345998,-,product=hypothetical protein - conserved
LinJ.04,347395,353013,-,product=hypothetical protein - conserved
LinJ.04,355207,355953,-,product=hypothetical protein - conserved
LinJ.04,357536,359323,-,product=hypothetical protein - conserved
LinJ.04,361694,362140,-,product=Cytochrome c oxidase biogenesis protein Cmc1 like - putative
LinJ.04,364089,365570,-,product=chaperone protein DNAj - putative
LinJ.04,367054,367695,-,product=60S ribosomal protein L10 - putative
LinJ.04,368592,369221,-,product=adenylate kinase - putative
LinJ.04,370115,371689,-,product=hypothetical protein - conserved
LinJ.04,372640,373755,-,product=hypothetical protein - conserved
LinJ.04,374435,378160,-,product=hypothetical protein - conserved
LinJ.04,378835,379692,-,product=hypothetical protein - conserved
LinJ.04,380649,384185,-,product=chloride channel protein - putative
LinJ.04,385775,386443,-,product=Domain of unknown function (DUF947) - putative
LinJ.04,387839,388423,-,product=COPI associated protein - putative
LinJ.04,389992,390918,-,product=acyltransferase-like protein - copy 1
LinJ.04,392887,393957,-,product=acyltransferase-like protein - copy 2
LinJ.04,395129,396586,-,product=hypothetical protein - conserved
LinJ.04,397056,397445,-,product=hypothetical protein - conserved
LinJ.04,398180,400810,-,product=Transcriptional repressor TCF25 - putative
LinJ.04,401639,405715,-,product=hypothetical protein - conserved
LinJ.04,407605,407934,-,product=hypothetical protein - conserved
LinJ.04,408542,411415,-,product=proton motive ATPase - putative
LinJ.04,413321,415510,-,product=hypothetical protein - conserved
LinJ.04,416514,417446,-,product=cytochrome c oxidase assembly factor - putative
LinJ.04,418270,419172,-,product=hypothetical protein - conserved
LinJ.04,419872,420378,-,product=hypothetical protein - conserved
LinJ.04,422570,423625,-,product=fructose-1 -6-bisphosphatase
LinJ.04,424728,425981,-,product=hypothetical protein
LinJ.04,434771,435706,-,product=RNA-binding protein - putative
LinJ.04,438601,445785,-,product=hypothetical protein - conserved
LinJ.04,447105,448676,-,product=tRNA nucleotidyltransferase - putative
LinJ.04,449517,450080,-,product=Leucine Rich repeat - putative
LinJ.04,454851,455957,-,product=casein kinase I - putative
LinJ.04,456952,459945,-,product=hypothetical protein - conserved
LinJ.04,461315,462445,-,product=actin
LinJ.05,5078,7825,+,product=hypothetical protein - conserved
LinJ.05,8283,8702,+,product=hypothetical protein - conserved
LinJ.05,9220,9807,+,product=ras-like small GTPases - putative
LinJ.05,10914,12659,+,product=paraflagellar rod component par4 - putative
LinJ.05,13858,16359,+,product=hypothetical protein - conserved
LinJ.05,17586,20087,+,product=major vault protein - putative
LinJ.05,22216,22491,+,product=dynein light chain - putative
LinJ.05,23370,23975,+,product=Rrp15p - putative
LinJ.05,25296,25835,+,product=Nudix hydrolase 2 - putative
LinJ.05,27639,29552,+,product=phosphoprotein phosphatase - putative
LinJ.05,33206,33577,+,product=hypothetical protein - conserved
LinJ.05,34580,35596,+,product=hypothetical protein - conserved
LinJ.05,37230,38528,+,product=protein kinase - putative
LinJ.05,45055,46380,+,product=Leucine Rich repeat/Leucine rich repeat/Leucine Rich Repeat - putative
LinJ.05,47453,48994,+,product=hypothetical protein - conserved
LinJ.05,49521,51800,+,product=hypothetical protein - conserved
LinJ.05,53230,54663,+,product=dihydrolipoamide branched chain transacylase - putative
LinJ.05,56212,57297,+,product=Fip1 motif/Zinc finger C-x8-C-x5-C-x3-H type (and similar) - putative
LinJ.05,58181,60541,+,product=Ferrous iron transport protein B/50S ribosome-binding GTPase - putative
LinJ.05,61299,65786,+,product=hypothetical protein - conserved
LinJ.05,67363,69378,+,product=dual specificity phosphatase-like protein
LinJ.05,74004,75905,+,product=hydrogenase - putative
LinJ.05,84329,84622,+,product=hypothetical protein - conserved
LinJ.05,85312,86472,+,product=Ankyrin repeat - putative
LinJ.05,87457,88416,+,product=hypothetical protein - conserved
LinJ.05,89017,89691,+,product=protein tyrosine phosphatase - putative
LinJ.05,91483,92004,+,product=ARP2/3 complex 16kDa subunit - putative
LinJ.05,93542,94999,+,product=phosphate carrier protein - mitochondrial precursor-like protein
LinJ.05,95835,97880,+,product=hypothetical protein - conserved
LinJ.05,98587,99129,+,product=monothiol glutaredoxin - putative
LinJ.05,100522,103515,+,product=DNA replication licensing factor MCM8 - putative
LinJ.05,104314,105429,+,product=hypothetical protein - conserved
LinJ.05,106886,108361,+,product=trypanothione reductase
LinJ.05,109316,111193,+,product=ATP-dependent RNA helicase - putative
LinJ.05,112005,112991,+,product=hypothetical protein - conserved
LinJ.05,114679,119877,+,product=microtubule-associated protein - putative
LinJ.05,126235,128604,+,product=protein kinase - putative
LinJ.05,130656,134288,+,product=structural maintenance of chromosome (SMC) - putative
LinJ.05,135308,138070,+,product=Tetratricopeptide repeat/TPR repeat - putative
LinJ.05,139037,139372,+,product=dynein-light chain-protein - putative
LinJ.05,142084,144111,+,product=hypothetical protein - conserved
LinJ.05,144658,147219,+,product=hypothetical protein - conserved
LinJ.05,148497,149087,+,product=hypothetical protein - conserved
LinJ.05,149954,151837,+,product=GTPase - putative
LinJ.05,153344,154072,+,product=hypothetical protein - conserved
LinJ.05,155084,156808,+,product=monocarboxylate transporter-like protein
LinJ.05,160374,160877,+,product=hypothetical protein - conserved
LinJ.05,162671,164395,+,product=ATP synthase F1 - alpha subunit - putative
